id,nom,est_dangereux,diametre_min_km,diametre_max_km,vitesse_km_h,distance_manquee_km
3607626,(2012 PK24),False,0.0497227313,0.1111834072,79570.7907561889,53345755.91714449
3673598,(2014 LZ20),False,0.0340843469,0.0762149166,34745.0328892897,62559063.01978583
3693267,(2014 TC36),False,0.02658,0.0594346868,52491.5037745931,61269520.13523746
3733138,(2015 VK1),False,0.0127219879,0.0284472297,77965.4078253569,43424729.90960568
3758248,(2016 QG44),False,0.0868070458,0.1941064553,55777.1753534861,29690660.850264486
3773595,(2017 FL127),False,0.0732073989,0.1636967205,58311.1539328842,9629977.053383483
3576729,(2011 OB57),False,0.0167708462,0.0375007522,33443.8085467128,41207184.5085955
3685814,(2014 RF11),False,0.046190746,0.1032856481,25579.2053310223,60273612.796896085
3757410,(2016 PA40),False,0.0336166921,0.0751692087,29309.4175161847,22121481.17801624
3404530,(2008 EP),False,0.0365220357,0.0816657545,36279.8968115034,9303846.875120612
3578917,(2011 SB25),False,0.1646474378,0.3681628631,54927.4610877466,26977432.630870853
3736205,(2015 XT128),False,0.1010543415,0.2259643771,32841.9661090505,20055830.841978204
3766342,(2017 AT4),False,0.0127219879,0.0284472297,55380.2214968402,61249402.198720075
3838892,(2019 ER),False,0.0101054342,0.0225964377,60525.6066073188,54125880.46039812
3838913,(2019 EM1),False,0.0925880583,0.2070331923,81706.8077561095,35272064.07577297
3989721,(2020 CU1),False,0.0385971268,0.0863057993,16815.2043245118,57935308.59935025
2465402,465402 (2008 HW1),False,0.8842090927,1.9771516375,139612.9747286311,16114897.603338124
3662633,(2014 DE23),False,0.0305179233,0.0682401509,45277.4388580445,18380736.65249511
3785694,(2017 TN2),False,0.095182033,0.212833496,78707.0973981442,11148642.704202807
3838904,(2019 ED1),False,0.0079168967,0.0177027191,28560.9315420882,8425525.631768348
54051386,(2020 QP5),False,0.5761757511,1.2883681464,101544.3323672087,25888491.768436667
2513312,513312 (2007 DM41),True,0.102933082,0.2301653685,78054.5825424403,22911213.898787007
3736412,(2015 XX169),False,0.0088014652,0.0196806745,20425.4263104376,31183682.47908777
3884243,(2019 UC11),False,0.0298232505,0.0666868155,114875.1863451302,66442206.70596342
2535844,535844 (2015 BY310),True,0.1113153296,0.2489086439,28297.8006962226,3672622.158419023
2539856,539856 (2017 EV2),False,0.1740022951,0.38908096,79295.2525498669,25973553.9999461
3092253,(2000 EM26),False,0.0836671502,0.1870854353,103245.3440829101,73425700.02091396
3475238,(2009 VZ),True,0.1369477737,0.3062245314,69223.5958414172,73742982.39771333
3769806,(2017 DK34),False,0.0116025908,0.0259441818,67547.8221804364,50504755.4089945
3709250,(2015 BY512),False,0.1338304618,0.2992540101,62380.7415886568,66336716.092436776
3785931,(2017 TA6),False,0.0101054342,0.0225964377,59694.5904882901,63109087.8179589
3843836,(2019 RB3),False,0.0384197891,0.0859092601,64324.5734991006,45217659.22965208
3989355,(2020 CB),False,0.0076657557,0.0171411509,24764.878666185,36011593.24735043
2494658,494658 (2000 UG11),True,0.191670368,0.428587972,56311.2341010158,23201645.77668837
3449135,(2009 EM1),False,0.0667659413,0.1492931834,40611.0155324404,20877692.173696324
3728859,(2015 SZ16),False,0.0695913044,0.1556108872,50965.442424828,19723643.760114558
3748472,(2016 FU12),False,0.0110803882,0.0247765013,52581.5542389348,49976109.16370995
3838839,(2019 DQ),False,0.0116025908,0.0259441818,28624.4721937467,18718249.149254587
54111253,(2021 CQ3),False,0.4322698811,0.9665848387,150583.0194186808,69447542.71827646
2469219,469219 Kamo`oalewa (2016 HO3),False,0.0365220357,0.0816657545,11655.476357347,25631367.66181357
3117427,(2002 EM7),False,0.0350392641,0.0783501764,26852.776798605,17211967.61402811
3558374,(2011 EC7),False,0.1460679643,0.3266178974,107816.769801563,35658520.68717779
3713989,(2015 FC35),False,0.0987540639,0.2208207999,92446.7190865369,69084011.87573062
3745995,(2016 EO84),False,0.0904804968,0.2023205415,102708.3969921722,58837339.848475404
3788026,(2017 UG5),False,0.0146067964,0.0326617897,48447.8066303446,32910492.472712424
3824978,(2018 KS),False,0.0069912523,0.0156329154,21205.6550362743,40674211.92283011
3892681,(2019 VW2),False,0.0766575574,0.1714115092,78169.9257414695,64107970.04458331
3324685,(2006 DU63),False,0.0848310762,0.189688053,60154.9892854625,17087569.654827483
3408585,(2008 GR3),False,0.0278326768,0.0622357573,16442.4700613992,68547729.6614883
